web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
1570573103-4305,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=0,Opens in a new tabQuickviewSave+11 SizesAvailable in 11 SizesColona Shag White Area Rugby Mercury Row$77.99$180.008580Rated 4.5 out of 5 stars.8580 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/mercury-row-colona-shag-white-area-rug-mcrw5912.html?piid=23514503,Colona Shag White Area Rug,Mercury Row,$77.99 ,$180.00 ,57% Off,"Tastefully tousled, this shag area rug showcases a geometric diamond trellis motif for a modern pop of pattern. Neutral off-white and gray hues outfit this design, ensuring it’s versatile enough to complement any color palette you pick. Machine-made in Turkey from 100% polypropylene, it has a long 1.97"" pile height, so we recommend you vacuum it regularly to prevent dirt and debris from settling in. We also suggest you roll out a rug pad underneath to help this piece stay put.",Area Rugs,SKU: MCRW5912,Showing 1-10 of 8574 reviews.,4.6,4.7,4.5,4.8,null
1570572560-4261,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=3,Opens in a new tabSaleQuickviewSave+9 SizesAvailable in 9 SizesShiflett Gray Area Rugby Andover Mills$58.68$199.995190Rated 4.5 out of 5 stars.5190 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/andover-mills-shiflett-gray-area-rug-andv3989.html?piid=27199306,Shiflett Gray Area Rug,Andover Mills,$58.68 ,$199.99 ,71% Off,"Warm-up hardwood and tiles floors while providing a stylish accent piece that sets the stage for the rest of your ensemble with this must-have area rug. Machine woven in Turkey from polypropylene, it’s designed to take on the occasional spill and is easily cleaned with a light vacuuming. It features a medium 0.5"" pile height and is stain- and fade-resistant for added durability. A rug pad is recommended but not included.",Area Rugs,SKU: ANDV3989,Showing 1-10 of 5180 reviews.,4.7,4.8,4.8,4.8,null
1570572662-4271,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=2,Opens in a new tabQuickviewSave+6 SizesAvailable in 6 SizesFontanne Pink/White Area Rugby Bungalow Rose$125.99$315.001426Rated 5 out of 5 stars.1426 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/bungalow-rose-fontanne-pinkwhite-area-rug-bnrs6220.html?piid=22213564,Fontanne Pink/White Area Rug,Bungalow Rose,$125.99 ,$315.00 ,60% Off,"Soft to the touch and alluring with a distinctive high-low texture, this rayon, acrylic, and polyester blend area rug lend the perfect accent to glam bedrooms or sweet nurseries. A feminine pink and white colorway offers contemporary glamour to the global-inspired center medallion and scrolling border detail of this elegant layer.",Area Rugs,SKU: BNRS6220,Showing 1-10 of 1417 reviews.,4.8,4.6,4.6,4.9,null
1570571392-4148,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=5,Opens in a new tabQuickviewSave+2 SizesAvailable in 2 SizesActon Ivory Indoor/Outdoor Area Rugby Three Posts$63.99$163.14609Rated 5 out of 5 stars.609 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/three-posts-acton-ivory-indooroutdoor-area-rug-thre6932.html?piid=18098718,Acton Ivory Indoor/Outdoor Area Rug,Three Posts,$63.99 ,$163.14 ,61% Off,"More than anything else, area rugs are art for your floors: they create the mood of your decor, guide the layout of your furniture, and establish a color scheme to follow (or rebel against). A new rug can, and will, dramatically change a room – the fun part is picking one you love! This one for example, is perfectly at home in traditional aesthetics, and is machine made from 100% polypropylene, with an eye-catching geometric pattern in an ivory hue. Even with a latex backing, this rug should still be used with a rug pad. It is also water, stain, and fade resistant. To clean, we recommend vacuuming with no beater bar/rotating brush, and professionally cleaning as needed.",Area Rugs,SKU: THRE6932,Showing 1-10 of 607 reviews.,4.8,4.9,4.7,4.8,null
1570572353-4242,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=3,"Opens in a new tabSaleQuickviewSave+24 SizesAvailable in 24 SizesTsukiji Orange Area Rugby Mistana$91.9912361Rated 4.5 out of 5 stars.12361 total votes.FREE 2-Day ShippingGet it by Thu, Oct 10",https://www.wayfair.com/rugs/pdp/mistana-tsukiji-orange-area-rug-w000567686.html?piid=2048366113,Tsukiji Orange Area Rug,Mistana,$91.99 ,$365.70 ,75% Off,"With bright tones and a distressed Persian-inspired pattern, this area rug brings a touch of boho style to your space. This piece is power-loomed in Turkey from polypropylene, a synthetic material that's easy to clean and resists staining. Because of its 0.5"" pile height, this design is an ideal anchor for a high-traffic room in your home. No matter where it ends up, we recommend using a rug pad to prevent slipping and sliding.",Area Rugs,SKU: W000567686,Showing 1-10 of 12136 reviews.,4.7,4.4,4.7,5,null
1570573577-4343,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=0,Opens in a new tabQuickviewSave+16 SizesAvailable in 16 SizesKreutzer Distressed Gray/White Area Rugby Union Rustic$83.99$219.002070Rated 4.5 out of 5 stars.2070 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/union-rustic-kreutzer-distressed-gray-area-rug-unor1091.html?piid=34053791,Kreutzer Distressed Gray Area Rug,Union Rustic,$83.99 ,$219.00 ,62% Off,"Warming up hardwood and tile floors while setting the stage for the rest of your ensemble, area rugs are essential for nearly any room in your abode. Made in Turkey, this one is constructed from polypropylene, a colorfast and stain-resistant material that naturally repels moisture – making cleanup a cinch! It features a 0.37"" pile height, ideal for promoting a cozy and inviting feel to your space with the added benefit of being easy to clean.",Area Rugs,SKU: UNOR1091,Showing 1-10 of 2064 reviews.,4.7,4.6,4.6,4.7,null
1570572728-4276,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=2,Opens in a new tabSaleQuickviewSave+17 SizesAvailable in 17 SizesDestrie Hand-Braided Denim Blue Area Rugby Mistana$124.991057Rated 4.5 out of 5 stars.1057 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/mistana-destrie-hand-braided-denim-blue-area-rug-mtna1904.html?piid=22568438,Destrie Hand-Braided Denim Blue Area Rug,Mistana,$124.99 ,null,null,"Who says artful appeal has to be limited to what's hanging on your walls? Take that intrigue to the space underfoot with this eye-catching area rug. Made in India, it is hand-braided using cotton and jute for a textured design that lends depth and dimension to any floor space. Its hues of blue and gold up the ante, offering color and a glint of glamour. To keep this piece safely in place, we recommend using a rug pad.",Area Rugs,SKU: MTNA1904,Showing 1-10 of 1053 reviews.,4.5,4.6,4.4,4.2,null
1570571632-4176,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=4,"Opens in a new tabSaleQuickviewSave+11 SizesAvailable in 11 SizesAbbeville Cream/Brown Area Rugby Laurel Foundry Modern Farmhouse$117.81$338.00649Rated 4.5 out of 5 stars.649 total votes.FREE 2-Day ShippingGet it by Thu, Oct 10",https://www.wayfair.com/rugs/pdp/abbeville-creambrown-area-rug-lrfy1020.html?piid=18664716,Abbeville Cream/Brown Area Rug,Laurel Foundry Modern Farmhouse,$117.81 ,$338.00 ,65% Off,"Inspired by vintage finds in country antique stores, this cream-colored area rug showcases an aged oriental motif for an elegant, lived-in look. Made in Turkey, this rug is machine woven from stain- and fade-resistant polypropylene in a medium 0.33"" pile – perfect for rolling out in fashionable living rooms and dining spaces prone to occasional spills and stains alike. Complete with a durable cotton backing, this rug performs best when paired with a rug pad to prevent shifting and sliding.",Area Rugs,SKU: LRFY1020,Showing 1-10 of 649 reviews.,4.7,4.7,4.9,4.4,null
1570571468-4157,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=5,Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesGaskins Area Rugby Charlton Home$97.65$284.052266Rated 4.5 out of 5 stars.2266 total votes.FREE Shipping,https://www.wayfair.com/rugs/pdp/charlton-home-gaskins-area-rug-chrl1969.html?piid=21087473,Gaskins Area Rug,Charlton Home,$97.65 ,$284.05 ,66% Off,"Featuring intricate patterns, this area rug is an excellent option to enhance the look of your living room or bedroom. Beautifully oriental, this rug is machine-made from 100% polypropylene for added sturdiness and durability. It has a jet-black background, which is further accentuated by an ornate design in multiple colors. Low on maintenance, this rug should be vacuumed frequently to keep away dirt and dust.",Area Rugs,SKU: CHRL1969,Showing 1-10 of 2266 reviews.,4.6,4.6,4.6,4.7,null
1570572523-4256,https://www.wayfair.com/rugs/sb2/5-x-8-8-x-10-area-rugs-c215386-a95050~314299-a95050~314304.html?curpage=3,"Opens in a new tabSaleQuickviewSave+27 SizesAvailable in 27 SizesLeah Gray Indoor Area Rugby Andover Mills$126.995721Rated 5 out of 5 stars.5721 total votes.FREE 2-Day ShippingGet it by Thu, Oct 10",https://www.wayfair.com/rugs/pdp/andover-mills-leah-gray-indoor-area-rug-w001478412.html?piid=1489377217,Leah Gray Indoor Area Rug,Andover Mills,$126.99 ,$361.77 ,65% Off,"Shag is back, baby! Not only does this area rug sport a quatrefoil trellis motif that’s perfect for modern spaces, it features a 2'' pile height to encourage all who step onto it to sink their toes in. Crafted from polypropylene, this fade- and stain-resistant design also stands up to the heavy traffic of busy areas in your home. No matter where this rug ends up, we recommend pairing it with a rug pad to keep it in place.",Area Rugs,SKU: W001478412,Showing 1-10 of 5718 reviews.,4.8,5,4.8,4.8,null
