web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571689583-323","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=3","Opens in a new tabQuickviewSave+8 SizesAvailable in 8 SizesStansel Plain Outdoor Door Matby Charlton Homefrom $33.99$42.9934Rated 4.5 out of 5 stars.34 total votes.","https://www.wayfair.com/rugs/pdp/charlton-home-stansel-plain-outdoor-door-mat-w000907198.html","Stansel Plain Outdoor Door Mat","Charlton Home","$33.99","$42.99","21% Off","These plain, coir doormats are made from the tufts of coconut fibers, that have been woven into an extremely industrial and durable base, with hand-braided edges.  These doormats are densely woven and easily absorb water, while gently brushing off dirt from shoes.","Door Mats","SKU: W000907198","Showing 1-10 of 34 reviews.","4.4","null","null","null","null"
"1571689215-281","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=4","Opens in a new tabSaleQuickviewSave+3 SizesAvailable in 3 SizesLanz Leopard Non-Slip Indoor Only Door Matby World Menageriefrom $28.99$39.9910Rated 4.5 out of 5 stars.10 total votes.","https://www.wayfair.com/rugs/pdp/world-menagerie-lanz-leopard-non-slip-indoor-only-door-mat-w000408901.html","Lanz Leopard Non-Slip Indoor Only Door Mat","World Menagerie","$28.99","$39.99","28% Off","null","Door Mats","SKU: W000408901","Showing 1-10 of 10 reviews.","4.3","null","null","null","null"
"1571689717-342","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=3","Opens in a new tabSaleQuickviewSaveLoving Fall 30 in. x 18 in. Non-Slip Outdoor Door Matby Studio M$20.99$31.998Rated 5 out of 5 stars.8 total votes.","https://www.wayfair.com/rugs/pdp/studio-m-loving-fall-30-in-x-18-in-non-slip-outdoor-door-mat-sudm1373.html","Loving Fall 30 in. x 18 in. Non-Slip Outdoor Door Mat","Studio M","$20.99","$31.99","34% Off","null","Door Mats","SKU: SUDM1373","Showing 1-8 of 8 reviews.","5","null","null","null","null"
"1571689966-372","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=2","Opens in a new tabSaleQuickviewSave+10 Colors | 4 SizesAvailable in 10 Colors and 4 SizesHulbert Waterhog Squares Classic Outdoor Door Matby Symple Stufffrom $28.19$44.9996Rated 4.5 out of 5 stars.96 total votes.","https://www.wayfair.com/rugs/pdp/symple-stuff-hulbert-waterhog-squares-classic-outdoor-door-mat-w001373786.html","Hulbert Waterhog Squares Classic Outdoor Door Mat","Symple Stuff","$28.19","$44.99","37% Off","null","Door Mats","SKU: W001373786","Showing 1-10 of 96 reviews.","4.6","5.0","5.0","5.0","null"
"1571690329-410","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=0","Opens in a new tabSaleQuickviewSave+4 ColorsAvailable in 4 ColorsPatterson Family Rules Personalized 27 in. x 18 in. Non-Slip Indoor Only Door Matby Winston Porter$44.99$48.9910Rated 4.5 out of 5 stars.10 total votes.","https://www.wayfair.com/rugs/pdp/winston-porter-patterson-family-rules-personalized-27-in-x-18-in-non-slip-indoor-only-door-mat-cpss1148.html","Patterson Family Rules Personalized 27 in. x 18 in. Non-Slip Indoor Only Door Mat","Winston Porter","$44.99","$48.99","8% Off","This special doormat features various rules every family should follow. The manufacturer adds any family name that will appear before Family Rules. Then the manufacturer lists out all the rules such as Be Your Best, Never Stay Angry, etc.","Door Mats","SKU: CPSS1148","Showing 1-10 of 10 reviews.","4.5","null","null","null","null"
"1571689672-336","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=3","Opens in a new tabQuickviewSave+2 Colors | 2 SizesAvailable in 2 Colors and 2 SizesHalloween Pug Non-Slip Outdoor Door Matby Caroline's Treasuresfrom $20.74$29.992Rated 4.5 out of 5 stars.2 total votes.","https://www.wayfair.com/rugs/pdp/carolines-treasures-halloween-pug-non-slip-outdoor-door-mat-htj21673.html","Halloween Pug Non-Slip Outdoor Door Mat","Caroline's Treasures","$20.74","$29.99","31% Off","A Black binding tape is sewn around the mat for durability and to nicely frame the artwork. The mat has been permanently dyed for moderate traffic and can be placed inside or out (only under a covered space). Durable and fade resistant. The back of the mat is rubber backed to keep the mat from slipping on a smooth floor. Wash with high pressure from your garden hose or with a power washer. Use cleaner that does not produce suds.","Door Mats","SKU: HTJ21673","Showing 1-2 of 2 reviews.","4.5","null","null","null","null"
"1571689981-374","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=2","Opens in a new tabQuickviewSave+10 ColorsAvailable in 10 ColorsAinaro Aqua Shield Argyle 39 in. x 24 in. Non-Slip Outdoor Door Matby Latitude Runfrom $42.99$59.9992Rated 5 out of 5 stars.92 total votes.","https://www.wayfair.com/rugs/pdp/latitude-run-ainaro-aqua-shield-argyle-39-in-x-24-in-non-slip-outdoor-door-mat-latt3492.html","Ainaro Aqua Shield Argyle 39 in. x 24 in. Non-Slip Outdoor Door Mat","Latitude Run","$44.99","$59.99","25% Off","Updating the entryway? Just a few ravishing refreshes and you'll be making a fantastic first impression on any occasion. Start by casting a warm and welcoming glow as guests enter, elegant with a polished silver bowl pendant gleaming overhead. Next, put a personal touch on the ensemble with a glossy console table topped with framed family photos and a homegrown potted succulent or two. And finally, set this understated doormat by the front door so friends can wipe their feet. Taking on a half circle silhouette, it offers a polypropylene design with rubber backing. Though its solid hue may seem simplistic, it gets a dash of eye-catching appeal thanks to a raised diamond motif for a touch of texture.","Door Mats","SKU: LATT3492","Showing 1-10 of 91 reviews.","4.9","5.0","4.9","5.0","null"
"1571689624-329","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=3","Opens in a new tabSaleQuickviewSave+4 Sizes | 26 OptionsAvailable in 4 Sizes and 26 OptionsImperial Leaf Outdoor Door Matby Geo Crafts, Inc$31.99$44.9917Rated 4.5 out of 5 stars.17 total votes.","https://www.wayfair.com/rugs/pdp/geo-crafts-inc-imperial-leaf-outdoor-door-mat-gtz1047.html","Imperial Leaf Outdoor Door Mat","Geo Crafts, Inc","$31.99","$44.99","29% Off","null","Door Mats","SKU: GTZ1047","Showing 1-10 of 17 reviews.","4.4","null","null","null","null"
"1571690600-449","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=0","Opens in a new tab41% OFFQuickviewSaveBhabha Lavender Welcome 30 in. x 18 in. Outdoor Door Matby August GroveFlash Deal$23.99was $43.99Ends in 05:22:27","https://www.wayfair.com/rugs/pdp/august-grove-bhabha-lavender-welcome-30-in-x-18-in-outdoor-door-mat-agtg3126.html","Bhabha Lavender Welcome 30 in. x 18 in. Outdoor Door Mat","August Grove","null","null","null","This beautifully designed hand-woven doormat will enhance your entry way or patio. It's made from the highest quality all natural coconut fiber.","Door Mats","SKU: AGTG3126","Showing 1-10 of 45 reviews.","4.6","null","null","null","null"
"1571690557-442","https://www.wayfair.com/rugs/sb0/door-mats-c416566.html?curpage=0","Opens in a new tabQuickviewSaveBoho Boot Trayby Home Furnishings by Larry Traverso$20.53$25.0023Rated 4.5 out of 5 stars.23 total votes.","https://www.wayfair.com/rugs/pdp/boho-boot-tray-hflt1282.html","Boho Boot Tray","Home Furnishings by Larry Traverso","$20.53","$25.00","18% Off","Add style and organization to any doorway, foyer, mudroom, porch or laundry room with this boot tray. Made of 50% natural and 50% recycled vulcanized rubber. Its 1-piece construction and 2"" lip will ensure that moisture stays in the boot tray. Ideal for organizing boots, shoes, pet leashes and umbrellas and for keeping mud, debris and clutter off the floor. Use indoors or outdoors. Completely weatherproof. Boot tray is durable, long-lasting and easy to clean. All-natural rubber products can have a strong odor upon unpacking. Air out in an open space or outdoors to diffuse the natural rubber smell before first use.","Door Mats","SKU: HFLT1282","Showing 1-10 of 23 reviews.","4.6","null","null","null","null"
