web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571688002-184","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=2","Opens in a new tabSaleQuickviewSave+19 SizesAvailable in 19 SizesClair Gray Area Rugby Mistana$54.9929512Rated 5 out of 5 stars.29512 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mistana-clair-gray-area-rug-w000683999.html?piid=2022969551","Clair Gray Area Rug","Mistana","$54.99","null","null","Ready to stand up to high foot traffic in the entryway and take an occasional spill under the kitchen table, polypropylene rugs are ideal anchors for any mess-prone area of your abode. Take this one, for example: Made in Turkey, it is power-loomed from that must-have material with a low 0.25'' pile height for easy cleaning. Its hues of gray appear understated, but this piece stands out in any space thanks to a distressed geometric pattern. This rug performs best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: W000683999","Showing 1-10 of 28699 reviews.","4.8","4.7","4.7","4.7","null"
"1571687057-92","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=4","Opens in a new tabSaleQuickviewSave+16 SizesAvailable in 16 SizesBrandt Dark Blue Area Rugby Mistana$25.8431931Rated 4.5 out of 5 stars.31931 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mistana-brandt-dark-blue-area-rug-w001397379.html?piid=1377104705","Brandt Dark Blue Area Rug","Mistana","$25.84","$78.00","67% Off","Bursting with a boho flair, this dynamic area rug showcases a fashionably faded Persian-inspired pattern in blue, ivory, and beige hues for a splash of color. Power-loomed in Turkey from polypropylene with a low 0.25"" pile height, this design is the perfect pick for high-traffic rooms inside since it resists staining and fading. Plus, it’s easy to clean with regular vacuuming. We recommend you pair this piece with a rug pad so it stays put.","Area Rugs","SKU: W001397379","Showing 1-10 of 31890 reviews.","","","","","null"
"1571687528-132","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=3","Opens in a new tabSaleQuickviewSave+11 SizesAvailable in 11 SizesAbbeville Gray/Navy Blue Area Rugby Laurel Foundry Modern Farmhouse$47.92$138.001917Rated 4.5 out of 5 stars.1917 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/abbeville-graynavy-blue-area-rug-lrfy1027.html?piid=18664784","Abbeville Gray/Navy Blue Area Rug","Laurel Foundry Modern Farmhouse","$47.92","$138.00","65% Off","Anchor any arrangement with a dash of antique inspiration with this area rug, showcasing a distressed, Persian-inspired pattern in gray and navy blue hues. Power-loomed in Turkey from polypropylene – a durable synthetic material that resists staining and fading – this piece is an ideal anchor for high-traffic rooms in your home. Though this design's low 0.33"" is perfect for sliding right under doors, we recommend you pair it with a rug pad for additional padding and traction.","Area Rugs","SKU: LRFY1027","Showing 1-10 of 1912 reviews.","4.7","4.6","4.6","4.6","null"
"1571687678-148","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=2","Opens in a new tabSaleQuickviewSave+9 SizesAvailable in 9 SizesHaigler Green/Gray Area Rugby Bungalow Rose$61.99$152.95157Rated 5 out of 5 stars.157 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/bungalow-rose-haigler-greengray-area-rug-ya62258.html?piid=44218917&category=416168&placement=303&slot=4&sponsoredid=a0d0e936bd99dd02f70542fb52deb8ec9ebb54a67fc025aae36927aa9a4425c7&_txid=otAgbl2uDM94iloXsBZTAg%3D%3D&isB2b=0","Haigler Green/Gray Area Rug","Bungalow Rose","$61.99","$152.95","59% Off","This area rug features modern inspired designs that will effortlessly integrate and update your decor space.","Area Rugs","SKU: YA62258","Showing 1-10 of 156 reviews.","4.8","null","null","null","Sponsored"
"1571686375-11","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=5","Opens in a new tabSaleQuickviewSave+8 SizesAvailable in 8 SizesHaugan Abstract Orange Area Rugby Trent Austin Design$84.99$279.001546Rated 4.5 out of 5 stars.1546 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/trent-austin-design-haugan-abstract-orange-area-rug-tadn8285.html?piid=20494993","Haugan Abstract Orange Area Rug","Trent Austin Design","$84.99","$279.00","70% Off","Inspired by the energetic hues of earth’s natural color palette, this eye-catching area rug lends your floors a splash of bohemian appeal. It showcases a swirling abstract print in heavily saturated hues of light blue, teal, fiery red, green, orange, yellow, and white. Made in the USA, it’s machine woven from a stain- and a fade-resistant blend of nylon and polypropylene in a .39” pile that’s perfect for high traffic areas and places prone to spills and stains. To keep this rug safely in place, we recommend using a rug pad.","Area Rugs","SKU: TADN8285","Showing 1-10 of 1546 reviews.","4.6","4.3","4.4","4.7","null"
"1571688198-201","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=0","Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesArend Medallion Navy Blue Area Rugby Charlton Home$34.998409Rated 4.5 out of 5 stars.8409 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/charlton-home-arend-medallion-navy-blue-area-rug-w001305099.html?piid=1452538592","Arend Medallion Navy Blue Area Rug","Charlton Home","$34.99","$43.04","19% Off","Enliven your home décor with the modern Bohemian style of the Tremont Magnolia rug collection by Home Dynamix. Showcasing a traditional center medallion design framed by a scroll motif border with floral accents, this rug collection will conveniently complement your existing home décor. Crafted from polypropylene yarns, you will enjoy the soft, plush texture under your feet.  This durable area rug is stain and fade resistant with jute backing to protect your floors in high foot traffic areas. Recommended using with a Home Dynamix non-skid rug pad - sold separately. Made in Turkey.","Area Rugs","SKU: W001305099","Showing 1-10 of 8401 reviews.","4.6","4.6","4.3","4.8","null"
"1571686367-10","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=5","Opens in a new tabSaleQuickviewSave+21 SizesAvailable in 21 SizesStarr Hill Shag Navy Blue Area Rugby Zipcode Design$62.995679Rated 5 out of 5 stars.5679 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/zipcode-design-starr-hill-shag-navy-blue-area-rug-zpcd3685.html?piid=23563123","Starr Hill Shag Navy Blue Area Rug","Zipcode Design","$62.99","null","null","Set a chic foundation for your stylish space with this shaggy area rug, showcasing a rich navy blue hue. This area rug is machine-woven of stain- and fade-resistant polypropylene in a thick 2"" pile – perfect for rolling out in fashionable living rooms or digging your toes into right out of bed in the morning. Complete with a durable jute backing, this area rug performs best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: ZPCD3685","Showing 1-10 of 5678 reviews.","4.8","5.0","4.6","4.8","null"
"1571687561-136","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=3","Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesHovland Barley/Safari Tan Area Rugby World Menagerie$33.99997Rated 4.5 out of 5 stars.997 total votes.","https://www.wayfair.com/rugs/pdp/world-menagerie-hovland-barleysafari-tan-area-rug-w000833842.html?piid=2010349656&category=416168&placement=307&slot=1&sponsoredid=7a610dce68cf04cefef77b24833f5b27a3930af96a2ea10d2424680c56fd5bb1&_txid=otAgb12uCrRp1kgzlehQAg%3D%3D&isB2b=0","Hovland Barley/Safari Tan Area Rug","World Menagerie","$33.99","$46.20","26% Off","For a lodge-worthy living room look, start by sprucing up your floor space! Just lay down this eye-catching area rug to set the tone in your cozy seating ensemble, then pull up weathered leather sofas piled high with faux fur pillows for a cozy spot to curl up, and finally, suspend a faux antler chandelier overhead to cast a warm and relaxing glow. Exuding classic cabin charm, this distinctive design offers a bold southwestern motif in hues of beige and black so it can beautifully blend. Made in Egypt, it is machine-woven of 100% polypropylene with a flat design so it's perfect for high-traffic areas and spill-prone spaces.","Area Rugs","SKU: W000833842","Showing 1-10 of 996 reviews.","4.6","4.8","4.9","4.4","Sponsored"
"1571686606-34","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=5","Opens in a new tabSaleQuickviewSave+13 SizesAvailable in 13 SizesEstrel Area Rugby Bungalow Rose$60.99$94.00813Rated 4.5 out of 5 stars.813 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/bungalow-rose-estrel-area-rug-bngl5616.html?piid=20281397","Estrel Area Rug","Bungalow Rose","$60.99","$94.00","35% Off","null","Area Rugs","SKU: BNGL5616","Showing 1-10 of 812 reviews.","4.7","4.9","4.9","4.7","null"
"1571686440-17","https://www.wayfair.com/rugs/sb0/hallway-runners-c416168.html?curpage=5","Opens in a new tabSaleQuickviewSave+16 SizesAvailable in 16 SizesBrandt Black Area Rugby Mistana$33.99$78.0031907Rated 4.5 out of 5 stars.31907 total votes.2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/mistana-brandt-black-area-rug-mtna1836.html?piid=22568286","Brandt Black Area Rug","Mistana","$33.99","$78.00","56% Off","Ready to stand up to high foot traffic in the entryway and take on occasional spills under the kitchen table, polypropylene rugs are ideal anchors for any mess-prone area of your abode. Take this one for example: Made in Turkey, it is power-loomed from that must-have material and features a low pile height for easy upkeep. Sure to stand out in any space, it showcases a distressed Persian-inspired motif.","Area Rugs","SKU: MTNA1836","Showing 1-10 of 31881 reviews.","4.5","4.0","4.2","4.6","null"
