web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571692312-629","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=2","Opens in a new tabSaleQuickviewSave+2 SizesAvailable in 2 SizesBrittney Bedroom Decor Pink Area Rugby Zoomie Kids$72.99 - $117.99$99.9912Rated 5 out of 5 stars.12 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/zoomie-kids-brittney-bedroom-decor-pink-area-rug-zmie4142.html?category=1834363&placement=303&slot=2&sponsoredid=e2b11414d96314e69649b3c26d45ee0c3f62cf7222dc6d73bf2248c359501944&_txid=otAgZV2uHaFF6niEfY%2BrAg%3D%3D&isB2b=0","Brittney Bedroom Decor Pink Area Rug","Zoomie Kids","$72.99","$99.99","27% Off","The vibrant colors of this rug will energize your kid’s room! It is stain resistant and won't fade in the sunlight over time. Extremely durable easy to clean and vacuum. Use a mild detergent if necessary, do not bleach. Perfect for kids of all ages. This vivid Bedroom Decor Pink Area Rug is guaranteed to make your children happy.","Area Rugs","SKU: ZMIE4142","Showing 1-10 of 12 reviews.","5","null","null","null","Sponsored"
"1571690950-465","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=5","Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesJohnnie Hand-Tufted Area Rugby Viv + Rae$44.99 - $356.99$89.00100Rated 4.5 out of 5 stars.100 total votes.","https://www.wayfair.com/rugs/pdp/viv-rae-johnnie-hand-tufted-area-rug-vvro5235.html","Johnnie Hand-Tufted Area Rug","Viv + Rae","$44.99","$89.00","49% Off","From tying together an ensemble’s color scheme to creating softness on hardwood flooring, area rugs do it all. This design, depicting butterflies taking wing and offering hues of pink, blue, purple, and green, is an excellent pick for your little one’s whimsical bedroom. Crafted from polyester, it features a 0.5'' pile height that promotes underfoot comfort while remaining easy to clean and maintain. No matter where this design ends up, we recommend laying down a rug pad for added stability.","Area Rugs","SKU: VVRO5235","Showing 1-10 of 100 reviews.","4.7","null","null","null","null"
"1571691938-594","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=3","Opens in a new tabSaleQuickviewSave+8 SizesAvailable in 8 SizesBaugh Handmade Shag Yellow Area Rugby Ebern Designs$18.99 - $113.99$25.99140Rated 4 out of 5 stars.140 total votes.","https://www.wayfair.com/rugs/pdp/ebern-designs-baugh-handmade-shag-yellow-area-rug-ebdg2180.html","Baugh Handmade Shag Yellow Area Rug","Ebern Designs","$18.99","$25.99","27% Off","Whether you call them spongy, squishy, plush, lush, sumptuous, or springy, the Baugh collection is definitely oft! The ideal choice for kids to roll around on, to make a statement in a dorm room, to accent new baby’s room, or step out onto from the tub, this Baugh Shag Chenille Yellow Rug is handmade using natural chenille fibers. By using a unique twisting method, they’ve created hundreds of plush little “fingers” that simultaneously squish and support.","Area Rugs","SKU: EBDG2180","Showing 1-10 of 140 reviews.","4.1","5.0","4.1","5.0","null"
"1571691529-539","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=4","Opens in a new tabSaleQuickviewSave+3 SizesAvailable in 3 SizesDoughton Hand-Hooked Wool Pink/Yellow Area Rugby Harriet Bee$97.99 - $259.99$220.00157Rated 4.5 out of 5 stars.157 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/harriet-bee-doughton-hand-hooked-wool-pinkyellow-area-rug-nlo18834.html","Doughton Hand-Hooked Wool Pink/Yellow Area Rug","Harriet Bee","$97.99","$220.00","55% Off","null","Area Rugs","SKU: NLO18834","Showing 1-10 of 156 reviews.","4.5","null","null","null","null"
"1571691930-593","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=3","Opens in a new tabQuickviewSave+2 SizesAvailable in 2 SizesAngelia Bedroom Decor Pink Area Rugby Zoomie Kids$91.99 - $148.99$99.9923Rated 4.5 out of 5 stars.23 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/zoomie-kids-angelia-bedroom-decor-pink-area-rug-zmie4135.html?category=1834363&placement=307&slot=0&sponsoredid=fcb2866ec789e6715e7886f7ed18a8f15b59f97e096386d980ac963ba94b48da&_txid=otAgbl2uHDR4gloUFHWNAg%3D%3D&isB2b=0","Angelia Bedroom Decor Pink Area Rug","Zoomie Kids","$148.99","null","null","This whimsical rug will transform dull, everyday household goods into fun and original statement. The design of the unicorn joined with dreamy clouds, hearts and stars makes this rug extremely airy and fancy. Stain and fade resistant. This rug is also soft and cozy to walk on.","Area Rugs","SKU: ZMIE4135","Showing 1-10 of 23 reviews.","4.7","null","null","null","Sponsored"
"1571692698-670","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=0","Opens in a new tabSaleQuickviewSave+7 SizesAvailable in 7 SizesBoswell Numbers and Letters Kids Area Rugby Zoomie Kids$32.99 - $206.99$50.00175Rated 4.5 out of 5 stars.175 total votes.","https://www.wayfair.com/rugs/pdp/zoomie-kids-boswell-numbers-and-letters-kids-area-rug-zmie5583.html","Boswell Numbers and Letters Kids Area Rug","Zoomie Kids","$32.99","$50.00","34% Off","Teach your tot their ABCs and 123s when you roll out this area rug. Eye-catching and educational, it showcases a jumble of letters, numbers, and shapes in bright yellow, red, blue, green, and orange hues for a splash of color. Power-loomed in Egypt with a low 0.25"" pile height, it’s the perfect pick for high-traffic areas inside your home like a playroom. We recommend you pair this piece with a rug pad to help it stay put.","Area Rugs","SKU: ZMIE5583","Showing 1-10 of 175 reviews.","4.4","null","null","null","null"
"1571691514-537","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=4","Opens in a new tabQuickviewSave+5 SizesAvailable in 5 SizesSerina Wool/Cotton Gray Area Rugby Viv + Rae$95.99 - $289.99$169.0017Rated 4 out of 5 stars.17 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/viv-rae-serina-woolcotton-gray-area-rug-vvro3531.html","Serina Wool/Cotton Gray Area Rug","Viv + Rae","$95.99","$169.00","43% Off","Quality meets value in this beautiful modern area rug.","Area Rugs","SKU: VVRO3531","Showing 1-10 of 17 reviews.","3.9","null","null","null","null"
"1571692219-623","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=2","Opens in a new tabSaleQuickviewSave+3 SizesAvailable in 3 SizesPierce Machine Woven Gray Indoor/Outdoor Area Rugby Zoomie Kids$47.99 - $178.9952Rated 5 out of 5 stars.52 total votes.","https://www.wayfair.com/rugs/pdp/zoomie-kids-pierce-machine-woven-gray-indooroutdoor-area-rug-w001227541.html?category=1834363&placement=303&slot=3&sponsoredid=3db23dc432c06786ddaa4fb5ef6c399620bbeb5c378d4af199344cc3b3434f01&_txid=otAgZV2uHaFF6niEfY%2BrAg%3D%3D&isB2b=0","Pierce Machine Woven Gray Indoor/Outdoor Area Rug","Zoomie Kids","$47.99","null","null","This colorful educational city map area rug is perfect for children’s bedroom, play area, nursery and kindergartens. Your child will love playing on this rug. It promotes make believe play, interactive play and cognitive play. It is also very colorful with clear drawings of a street map which covers roads, school, library, zoo, café, hospital, beach, police station, airport, supermarket and more. It is made of excellent quality polypropylene and it is low pile low which makes the rug easy for cleaning. Thanks to its nonskid backing rugs create a very safe and fun ambiance to teach your children about important landmarks.","Area Rugs","SKU: W001227541","Showing 1-10 of 52 reviews.","4.8","null","null","null","Sponsored"
"1571691544-542","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=4","Opens in a new tabSaleQuickviewSave+4 SizesAvailable in 4 SizesArriola Hand-Tufted Wool Light Gray/White Area Rugby Harriet Bee$116.99 - $269.99$257.005Rated 4.5 out of 5 stars.5 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/harriet-bee-arriola-hand-tufted-wool-light-graywhite-area-rug-w000814219.html","Arriola Hand-Tufted Wool Light Gray/White Area Rug","Harriet Bee","$189.99","$257.00","26% Off","null","Area Rugs","SKU: W000814219","Showing 1-10 of 200 reviews.","4.3","null","null","null","null"
"1571692630-666","https://www.wayfair.com/rugs/sb0/kids-rugs-c1834363.html?curpage=0","Opens in a new tabSaleQuickviewSave+2 SizesAvailable in 2 SizesBrynn Friendly Dinosaur Blue Kids Rugby Viv + Rae$123.99 - $199.99$175.9951Rated 4.5 out of 5 stars.51 total votes.FREE 2-Day ShippingGet it by Wed, Oct 23","https://www.wayfair.com/rugs/pdp/viv-rae-brynn-friendly-dinosaur-blue-kids-rug-vvro5716.html","Brynn Friendly Dinosaur Blue Kids Rug","Viv + Rae","$123.99","$175.99","30% Off","Not all dinosaurs are scary! Meet their friendly dinosaur area rug. The cool tones of teal, deep blue and zesty key lime add a refreshing splash of color to your child’s space. As part of their kids interactive collection, the friendly dinosaur was created with their premium wear dated nylon fiber for a soft touch and dependable durability. The fiber utilized in the design of this product has been performance tested to meet strict standards of durability and stain resistance, for a quality you can trust!","Area Rugs","SKU: VVRO5716","Showing 1-10 of 51 reviews.","4.7","null","null","null","null"
