web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571769748-1541","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=0","Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesBelliere Medallion Brown/Beige Area Rugby Astoria Grand$24.99 - $229.99$35.99701Rated 4.5 out of 5 stars.701 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/astoria-grand-belliere-medallion-brownbeige-area-rug-atgd1406.html","Belliere Medallion Brown/Beige Area Rug","Astoria Grand","$24.99","$35.99","31% Off","Don't let your floors go bare! This lovely area rug warms up your ensemble while also adding elegance to your space./ppMade in Turkey, this design is crafted of 100% polypropylene with natural jute backing. Brimming with sophisticated style.try setting it between a pair of weathered leather love seats by a flickering fireplace to craft a lodge-inspired living room ensemble, then hang a wrought iron chandelier overhead to complete the look. This piece is also perfect as the foundation for your fanciful foyer, just add in a weathered wood bench and a shining pendant to welcome guests in style./p","Area Rugs","SKU: ATGD1406","Showing 1-10 of 704 reviews.","4.7","null","null","null","null"
"1571766537-1380","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=4","Opens in a new tabSaleQuickviewSave+21 SizesAvailable in 21 SizesConnie Slate/Ivory Area Rugby Greyleigh$33.99 - $249.99$44.293492Rated 4.5 out of 5 stars.3492 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/greyleigh-connie-slateivory-area-rug-gryl4700.html","Connie Slate/Ivory Area Rug","Greyleigh","$33.99","$44.29","23% Off","Featuring a Persian-inspired motif in cool slate and ivory tones, this dynamic area rug provides a pop of pattern that won’t overwhelm your existing arrangement. Power-loomed in Turkey from 100% polypropylene with a low 0.43"" pile height, this design is the perfect base for a busy space inside your home since it can hold up to heavy foot traffic. Wherever you decide to roll it out, we recommend you pair this piece with a rug pad to help it stay put.","Area Rugs","SKU: GRYL4700","Showing 1-10 of 1850 reviews.","4.5","4.5","4.5","3.0","null"
"1571766730-1390","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=4","Opens in a new tabSaleQuickviewSave+5 SizesAvailable in 5 SizesVedika Gray Area Rugby Bungalow Rose$29.99 - $136.9933Rated 5 out of 5 stars.33 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/bungalow-rose-vedika-gray-area-rug-w001428306.html","Vedika Gray Area Rug","Bungalow Rose","$29.99","null","null","This Gray Area Rug is the perfect union of tasteful distressed design and understated multi-colored motifs power loomed in Turkey of high quality, long wearing synthetic fibers. With irresistible and distinctive designs this attractive area rug can easily define the casual elegance. Simply add a few compatible decorative pillows to any hardwood or tile floor and you will have quickly created a well-defined and inviting oasis just waiting for you and your friends to relax and enjoy.","Area Rugs","SKU: W001428306","Showing 1-10 of 33 reviews.","4.8","null","null","null","null"
"1571767614-1437","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=3","Opens in a new tabQuickviewSave+27 SizesAvailable in 27 SizesElson Navy Area Rugby Mistana$41.99 - $476.28776Rated 4.5 out of 5 stars.776 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/mistana-elson-navy-area-rug-mtna3479.html","Elson Navy Area Rug","Mistana","$41.99","null","null","Looks aside, area rugs help absorb and decrease noise as they soften the step of hardwood and tile flooring. This one, for example, is constructed from polypropylene, a synthetic material designed to stand up to muddy shoes in the entryway and the occasional spill under the kitchen table. It features a 0.37"" pile height, ideal for promoting a cozy and inviting feel to your space with the added benefit of being easy to clean.","Area Rugs","SKU: MTNA3479","Showing 1-10 of 769 reviews.","4.7","4.0","4.5","4.9","null"
"1571769074-1508","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=0","Opens in a new tabSaleQuickviewSave+6 SizesAvailable in 6 SizesBatholo Blue/Ivory Area Rugby The Twillery Co.$25.99 - $269.99$39.00437Rated 4.5 out of 5 stars.437 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/the-twillery-co-batholo-blueivory-area-rug-chmb2328.html","Batholo Blue/Ivory Area Rug","The Twillery Co.","$25.99","$39.00","33% Off","Looks aside, area rugs help absorb and decrease noise as they soften the step of hardwood and tile flooring. Made in Turkey, this one is constructed from polypropylene, a synthetic material designed to stand up to muddy shoes in the entryway and the occasional spill under the kitchen table. It features a 0.5"" pile height, ideal for promoting a cozy and inviting feel to your space with the added benefit of being easy to clean.","Area Rugs","SKU: CHMB2328","Showing 1-10 of 436 reviews.","4.6","null","null","null","null"
"1571768213-1469","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=2","Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesCarrie Beige Area Rugby Ophelia & Co.$31.99 - $299.99$35.996Rated 4.5 out of 5 stars.6 total votes.","https://www.wayfair.com/rugs/pdp/ophelia-co-carrie-beige-area-rug-w001583991.html?category=474118&placement=303&slot=5&sponsoredid=ff326d6bfae12e94c5d46ceba6d253e29ecf91edc2ef0f27a3952b2b4db28950&_txid=otAgbl2vRtJ4gloUKDKsAg%3D%3D&isB2b=0","Carrie Beige Area Rug","Ophelia & Co.","$31.99","$35.99","11% Off","Classic, elegant pattern is the hallmark of this area rug. Inspired by traditional Persian rug designs, this rug is lightly distressed to bring vintage flair. Soft pastels make a natural accent to both modern and classic décor.","Area Rugs","SKU: W001583991","Showing 1-10 of 79 reviews.","4.6","null","null","null","Sponsored"
"1571767811-1447","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=3","Opens in a new tabSaleQuickviewSave+11 SizesAvailable in 11 SizesAbbeville Cream/Brown Area Rugby Laurel Foundry Modern Farmhouse$42.92 - $319.34$138.00660Rated 4.5 out of 5 stars.660 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/abbeville-creambrown-area-rug-lrfy1020.html","Abbeville Cream/Brown Area Rug","Laurel Foundry Modern Farmhouse","$42.92","$138.00","69% Off","Inspired by vintage finds in country antique stores, this cream-colored area rug showcases an aged oriental motif for an elegant, lived-in look. Made in Turkey, this rug is machine woven from stain- and fade-resistant polypropylene in a medium 0.33"" pile – perfect for rolling out in fashionable living rooms and dining spaces prone to occasional spills and stains alike. Complete with a durable cotton backing, this rug performs best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: LRFY1020","Showing 1-10 of 657 reviews.","4.7","4.7","4.9","4.4","null"
"1571768093-1461","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=2","Opens in a new tabSaleQuickviewSave+7 SizesAvailable in 7 SizesBally''s Multicolor Area Rugby World Menagerie$45.99 - $279.99$118.00713Rated 4.5 out of 5 stars.713 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/world-menagerie-ballys-multicolor-area-rug-wdmg4523.html","Bally''s Multicolor Area Rug","World Menagerie","$45.99","$118.00","61% Off","The distressed appearance of these rugs will give a distinctive look to your home. The classic motif of this exquisite rug is sure to please. Add a touch of class to any room with this collection.","Area Rugs","SKU: WDMG4523","Showing 1-10 of 711 reviews.","4.7","4.6","4.4","5.0","null"
"1571767763-1444","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=3","Opens in a new tabSaleQuickviewSave+15 SizesAvailable in 15 SizesHillsby Navy Area Rugby Mistana$28.58 - $534.36$59.003918Rated 5 out of 5 stars.3918 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/mistana-hillsby-navy-area-rug-mtna3051.html","Hillsby Navy Area Rug","Mistana","$28.58","$59.00","52% Off","A great option for protecting (and muffling) hardwood floors while providing the perfect decorative touch for staging your ensemble, area rugs are a versatile accent for making any space feel like home. Take this rug, for example: woven in Turkey from polypropylene, it's a great option for a boho touch, thanks to its Persian-inspired pattern with faded distressing that lends it a well-worn look. A 0.38'' pile height makes this rug a great option for a touch of cushion underfoot that's still easy to maintain. We recommend adding a rug pad to help prevent slipping and sliding.","Area Rugs","SKU: MTNA3051","Showing 1-10 of 3903 reviews.","4.8","4.8","4.7","4.8","null"
"1571766170-1359","https://www.wayfair.com/rugs/sb0/oriental-rugs-c474118.html?curpage=5","Opens in a new tabQuickviewSave+4 SizesAvailable in 4 SizesArvidson Wool Yellow/Beige Area Rugby Lark Manor$28.99 - $118.99$30.00333Rated 4.5 out of 5 stars.333 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/lark-manor-arvidson-wool-yellowbeige-area-rug-lrkm4813.html","Arvidson Wool Yellow/Beige Area Rug","Lark Manor","$62.99","$149.00","58% Off","Set a sophisticated foundation for your stylish space – inside or outdoors – with this traditional area rug, showcasing an intricate oriental motif in rich hues of yellow and beige. Machine made in Egypt, this area rug is power-loomed of stain- and fade-resistant synthetic fibers in a medium 0.5"" pile – perfect for rolling out in high-traffic entryways and patio dining spaces prone to spills and stains alike. Complete with a durable jute backing, this rug performs best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: LRKM4813","Showing 1-10 of 332 reviews.","4.5","5.0","4.6","4.9","null"
