web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571754132-822","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=3","Opens in a new tabCloseoutQuickviewSave+8 SizesAvailable in 8 SizesMellinger Brown Area Rugby Andover Mills$104.99$128.991668Rated 4.5 out of 5 stars.1668 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/andover-mills-mellinger-brown-area-rug-ando3965.html?piid=26253635","Mellinger Brown Area Rug","Andover Mills","$104.99","$128.99","19% Off","Add a touch of modern elegance to your decor with this Clover area rug. Designed with rectangular shapes in shades of beige and brown and brown, leafy accents on two sides, this neutral rug suits both transitional and modern decors. It's well-constructed of soft, heat-set polypropylene yarns that feel cozy underfoot. The durable yarns and jute backing ensure the rug's longevity, especially in high-traffic areas. Made in Turkey.","Closeout","SKU: ANDO3965","Showing 1-10 of 1666 reviews.","4.6","4.6","4.4","3.9","null"
"1571753796-790","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=3","Opens in a new tabSaleQuickviewSave+20 SizesAvailable in 20 SizesAzha Broken Light Gray Area Rugby Mercury Row$46.44$58.298064Rated 4.5 out of 5 stars.8064 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/mercury-row-azha-broken-light-gray-area-rug-mcrr2217.html?piid=42670882&category=474144&placement=307&slot=5&sponsoredid=bb5127a683ecabc773523a04cd292e477460222c56327754d5cdf2c0218e1978&_txid=otAgY12vDw6x2ysL4g6uAg%3D%3D&isB2b=0","Azha Broken Light Gray Area Rug","Mercury Row","$46.44","$58.29","20% Off","Set an artful foundation in your living room seating ensemble or give the master suite a makeover from underfoot with this essential area rug. Its eye-catching geometric pattern in neutral hues of gray is a perfect pick for modern spaces. Crafted from fade- and stain-resistant polypropylene, it features a 0.5'' pile height that encourages comfort underfoot while remaining easy to clean with regular vacuuming. We also recommend pairing this piece with a rug pad to keep it safely in place.","Area Rugs","SKU: MCRR2217","Showing 1-10 of 6489 reviews.","4.6","4.8","4.7","4.6","Sponsored"
"1571754247-830","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=3","Opens in a new tabSaleQuickviewSave+19 SizesAvailable in 19 SizesRabinowitz Terracotta Area Rugby Andover Mills$79.19$198.0033248Rated 4.5 out of 5 stars.33248 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/andover-mills-rabinowitz-terracotta-area-rug-andv4790.html?piid=33089592","Rabinowitz Terracotta Area Rug","Andover Mills","$79.19","$198.00","60% Off","This Terracotta Area Rug is made of polypropylene. This rug is easy to clean and does not shed","Area Rugs","SKU: ANDV4790","Showing 1-10 of 33075 reviews.","4.6","4.6","4.8","4.6","null"
"1571753658-779","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=4","Opens in a new tabQuickviewSave+28 SizesAvailable in 28 SizesConnie Gray Area Rugby Greyleigh$44.99$94.578234Rated 4.5 out of 5 stars.8234 total votes.","https://www.wayfair.com/rugs/pdp/greyleigh-connie-gray-area-rug-gryl5534.html?piid=33394119","Connie Gray Area Rug","Greyleigh","$44.99","$94.57","52% Off","Set a clean and serene foundation for your fashionable space with this ombre area rug, showcasing a chic gradient motif. Machine-made in Turkey, this area rug is power-loomed of stain and fade-resistant polypropylene in a medium 0.4"" pile – perfect for rolling out in fashionable living rooms or digging your toes in right out of bed in the morning. Easily vacuumed or spot cleaned for effortless upkeep, this rug performs best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: GRYL5534","Showing 1-10 of 7228 reviews.","4.5","4.5","4.6","5.0","null"
"1571754989-894","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=0","Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesCaffey Cerulean Blue/Taupe Area Rugby Andover Mills$29.9917141Rated 4.5 out of 5 stars.17141 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/andover-mills-caffey-cerulean-bluetaupe-area-rug-andv4772.html?piid=33086169","Caffey Cerulean Blue/Taupe Area Rug","Andover Mills","$29.99","null","null","Decorate your floors with the modern Tremont Salem area rug collection from Home Dynamix. Featuring an elegant and ornate medallion tile motif, this rug will enhance the look of any contemporary room with its standout design. Made of soft polypropylene, you'll enjoy the plush feel of this rug underfoot. Durable, stain and fade resistant with a jute backing, this rug will protect floors in high traffic areas. Recommended using with a Home Dynamix non-skid rug pad, sold separately. Made in Turkey.","Area Rugs","SKU: ANDV4772","Showing 1-10 of 17123 reviews.","4.6","4.6","4.6","4.1","null"
"1571752599-694","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=5","Opens in a new tabSaleQuickviewSave+20 SizesAvailable in 20 SizesHowton Blue Gray/Off-White Ivory Area Rugby Laurel Foundry Modern Farmhouse$143.99$386.4010070Rated 4.5 out of 5 stars.10070 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/howton-blue-grayoff-white-ivory-area-rug-lfmf4450.html?piid=31133952","Howton Blue Gray/Off-White Ivory Area Rug","Laurel Foundry Modern Farmhouse","$143.99","$386.40","63% Off","Inspired by antique looks and global designs, this slate and ivory oriental area rug lays an elegant foundation for your stylish space. Machine made in Turkey, this area rug is power loomed from stain- and fade-resistant in a low pile – perfect for rolling out in high-traffic living rooms and dining spaces prone to the occasional spills and stains. Easily vacuumed or spot cleaned for effortless upkeep, this rug performs best when paired with a rug pad to prevent slipping and sliding.","Area Rugs","SKU: LFMF4450","Showing 1-10 of 184 reviews.","4.5","5.0","4.8","4.4","null"
"1571754366-841","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=2","Opens in a new tabSaleQuickviewSave+9 SizesAvailable in 9 SizesAllison Burgundy Area Rugby Ebern Designs$93.40$299.001438Rated 4.5 out of 5 stars.1438 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/ebern-designs-allison-burgundy-area-rug-ebnd4104.html?piid=33337262","Allison Burgundy Area Rug","Ebern Designs","$93.40","$299.00","69% Off","From protecting your floor to reducing noise and defining space, area rugs do it all. Made in Turkey, this one is constructed from polypropylene, a synthetic material designed to stand up to muddy shoes in the entryway and the occasional spill under the kitchen table. It features a 0.5"" pile height, ideal for promoting a cozy and inviting feel to your space with the added benefit of being easy to clean.","Area Rugs","SKU: EBND4104","Showing 1-10 of 1428 reviews.","4.7","4.6","4.6","4.8","null"
"1571753417-764","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=4","Opens in a new tabSaleQuickviewSave+10 SizesAvailable in 10 SizesGaskins Area Rugby Charlton Home$142.01$392.002304Rated 4.5 out of 5 stars.2304 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/charlton-home-gaskins-area-rug-chrl1969.html?piid=21087480","Gaskins Area Rug","Charlton Home","$142.01","$392.00","64% Off","Featuring intricate patterns, this area rug is an excellent option to enhance the look of your living room or bedroom. Beautifully oriental, this rug is machine-made from 100% polypropylene for added sturdiness and durability. It has a jet-black background, which is further accentuated by an ornate design in multiple colors. Low on maintenance, this rug should be vacuumed frequently to keep away dirt and dust.","Area Rugs","SKU: CHRL1969","Showing 1-10 of 2300 reviews.","4.6","4.6","4.6","4.7","null"
"1571754786-877","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=0","Opens in a new tabSaleQuickviewSave+29 SizesAvailable in 29 SizesNewburyport Orange/Blue/Pink Area Rugby Mistana$48.9911397Rated 5 out of 5 stars.11397 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/mistana-newburyport-orangebluepink-area-rug-w001489963.html?piid=45417321","Newburyport Orange/Blue/Pink Area Rug","Mistana","$48.99","$111.32","56% Off","Bring free-spirited flair to your teen’s floors with this on-trend area rug. Fashionably faded, it features an abstract pattern in orange, blue, and pink hues for a vibrant, yet vintage, vibe. Power-loomed in Turkey from 100% polypropylene, this piece is well suited to sit in high-traffic rooms inside your home. Wherever you decide to display this design, we recommend you roll out a rug pad underneath to keep it in place.","Area Rugs","SKU: W001489963","Showing 1-10 of 10123 reviews.","4.8","4.7","4.9","4.6","null"
"1571754449-849","https://www.wayfair.com/rugs/sb0/round-rugs-c474144.html?curpage=2","Opens in a new tabSaleQuickviewSave+18 SizesAvailable in 18 SizesTwinar Hand-Knotted Wool Off White/Dark Gray Area Rugby Langley Street$119.99$261.751091Rated 4.5 out of 5 stars.1091 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/langley-street-twinar-hand-knotted-wool-off-whitedark-gray-area-rug-lgly2588.html?piid=44471861","Twinar Hand-Knotted Wool Off White/Dark Gray Area Rug","Langley Street","$119.99","$261.75","54% Off","Lay a bohemian foundation for your stylish space with this off-white and dark gray area rug, featuring a chic diamond motif and 5’’ tassel trim. Made in India, this rug is hand-knotted from wool in a medium 0.25’’ pile—perfect for laying out in the living room or digging your toes in right out of bed. Available in a curated selection of sizes to best suit your space, this rug works best when paired with a rug pad to prevent shifting and sliding.","Area Rugs","SKU: LGLY2588","Showing 1-10 of 1091 reviews.","4.3","3.3","4.2","3.6","null"
