web-scraper-order,web-scraper-start-url,Product_C,Product_C-href,Product_Name,Shop_Name,Sale_Price,Original_Price,Discount,Description,Collection,Product_SKU,Review_Numbers,Customer_Rating_Total,Size_Rating,Material_Rating,Color_Rating,Sponsor_B
"1571755581-906","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=5","Opens in a new tabSaleQuickviewSaveMatheson White Area Rugby House of Hampton$32.99$45.906Rated 4.5 out of 5 stars.6 total votes.","https://www.wayfair.com/rugs/pdp/house-of-hampton-matheson-white-area-rug-w001483226.html","Matheson White Area Rug","House of Hampton","$32.99","$45.90","28% Off","Add class, warmth, and softness to any room with a super soft, super fun Matheson Shag White Area Rug. Designed to pamper you while preventing wear on your floors. Crafted with the highest quality materials, exquisite attention to detail, and uniquely woven fabrics to provide you with the affordable luxury you deserve. Sending a shaggy rug to a loved one shows that thoughtfulness and care went into the selection of their gift. 79% Acrylic and 21% polyester fur with 100% polyester backing. Eco-friendly artificial animal fur is exquisitely thick and hypoallergenic. Spot clean only. Dust and dirt on the surface can be removed easily by shaking out, best done outdoors.","Area Rugs","SKU: W001483226","Showing 1-6 of 6 reviews.","4.7","null","null","null","null"
"1571756001-932","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=5","Opens in a new tabSaleQuickviewSave+2 SizesAvailable in 2 SizesJolicia Abstract Swirl Cream/Beige Indoor Area Rugby Orren Ellis$118.99 - $209.99$271.256Rated 5 out of 5 stars.6 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/orren-ellis-jolicia-abstract-swirl-creambeige-indoor-area-rug-orls4954.html","Jolicia Abstract Swirl Cream/Beige Indoor Area Rug","Orren Ellis","$209.99","$527.63","60% Off","Make a sophisticated statement with this Abstract Swirl Area Rug. Patterned with an elegant modern design, this rug is a durable machine-woven polypropylene shag rug that offers wide-ranging plush support. Complete with a jute bottom, distinctive high-low texture, and a soft. This rug enhances traditional and contemporary modern decors while outlasting everyday use. Featuring a lively swirl pattern, this non-shedding area rug with a high-density weave and cozy feel is a perfect addition to the living room, bedroom, entryway, kitchen, dining room or family room. This product is a family-friendly stain resistant rug with easy maintenance. Vacuum regularly and spot clean with diluted soap or detergent as needed. Create a comfortable play area for kids and pets while protecting your floor from spills and heavy furniture with this carefree decor update for high traffic areas of your home.","Area Rugs","SKU: ORLS4954","Showing 1-6 of 6 reviews.","4.8","null","null","null","null"
"1571757899-1077","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+21 SizesAvailable in 21 SizesDuho Navy/Ivory Area Rugby Mercury Row$39.99 - $719.99$59.401049Rated 5 out of 5 stars.1049 total votes.","https://www.wayfair.com/rugs/pdp/mercury-row-duho-navyivory-area-rug-mcrw6759.html","Duho Navy/Ivory Area Rug","Mercury Row","$39.99","$59.40","33% Off","Red carpets aren’t the only way to add glamorous and chic style to your floors. Add this elegant rug to any space in your home to effortlessly elevate your aesthetic and craft a look that is sure to grab glances. Showcasing a classic trellis pattern, a bold blue and white color palette, and a shag design, this design is a must-have for your home. It was power-loomed of easy care polypropylene yarn, so it is stain- and fade-resistant, and an ideal choice for spill-prone spaces and high-traffic areas. You only get one first impression, so try rolling this durable rug out in your foyer to craft a grand entryway display. To build on the contemporary style, pair it with a glossy black console table topped with a potted white orchid flower, a pair of stacked orb table lamps, and a small abstract metallic sculpture. If your entryway is already elegant, this rug also looks right at home under a clean-lined white table in your dining room.","Area Rugs","SKU: MCRW6759","Showing 1-10 of 1052 reviews.","4.8","5.0","5.0","5.0","null"
"1571757660-1056","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+7 SizesAvailable in 7 SizesSan Francisco Shag Red/Black/Gray Area Rugby Well Woven$79.99 - $609.99$597.0013Rated 5 out of 5 stars.13 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/well-woven-san-francisco-shag-redblackgray-area-rug-xtbs1284.html","San Francisco Shag Red/Black/Gray Area Rug","Well Woven","$79.99","$597.00","87% Off","Oversized geometric styles like those in the San Francisco collection take center stage to create a feeling of boundless energy and expansive space. The dynamic patterns are further enhanced with 3D carved design accents, for a visual texture that pops right off the floor.","Area Rugs","SKU: XTBS1284","Showing 1-10 of 13 reviews.","5","null","null","null","null"
"1571758586-1120","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=0","Opens in a new tabSaleQuickviewSave+16 SizesAvailable in 16 SizesStacie Blue Area Rugby Ebern Designs$54.99 - $419.99$149.43271Rated 4.5 out of 5 stars.271 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/ebern-designs-stacie-blue-area-rug-w000200692.html","Stacie Blue Area Rug","Ebern Designs","$54.99","$149.43","63% Off","Who says art has to be limited to what's hanging on your walls? Bring a splash of gallery-worthy style to space underfoot with this eye-catching area rug! Showcasing a swirling pattern in a solid hue, this piece makes a statement while still fitting into your existing ensemble. Made in Turkey, it is power-loomed from polypropylene with jute, polyester cotton, and latex. To keep this design safely in place, we recommend using it with a rug pad.","Area Rugs","SKU: W000200692","Showing 1-10 of 278 reviews.","4.7","null","null","null","null"
"1571755910-924","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=5","Opens in a new tabQuickviewSaveMunch Faux Fur Blush Area Rugby Mercer41$114.99$132.0091Rated 5 out of 5 stars.91 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/mercer41-munch-faux-fur-blush-area-rug-w002049796.html","Munch Faux Fur Blush Area Rug","Mercer41","$114.99","$132.00","13% Off","These plush, machine-washable faux sheepskin rugs add warmth and softness to any room. The possibilities are endless! Place them over wood or tile for an instant contrast of color and texture. Layer them over existing carpet, or use them as throws over your bed, sofa or favorite reading chair to add a fluffy touch. It offers the luxury and softness of fur while remaining entirely animal-friendly. Adds coziness and style to the nursery, kids room or any room for that matter! Machine-washable to ensure you and your loved ones can enjoy this rug for a long time.","Area Rugs","SKU: W002049796","Showing 1-10 of 102 reviews.","4.8","5.0","5.0","5.0","null"
"1571758977-1139","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=0","Opens in a new tabSaleQuickviewSave+19 SizesAvailable in 19 SizesLilah Shag Gray Area Rugby Andover Mills$24.87 - $227.69$58.0033269Rated 4.5 out of 5 stars.33269 total votes.2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/andover-mills-lilah-shag-gray-area-rug-ando7420.html","Lilah Shag Gray Area Rug","Andover Mills","$24.87","$58.00","57% Off","Warming up hardwood and tile floors while setting the stage for the rest of your ensemble, area rugs are essential for nearly any room in your abode. Take this one for example: made in Turkey, it showcases a neutral cloud gray finish for a look that won’t clash with your current color palette. It features a 1"" pile height, making it the perfect pick for adding a plush stage setter that promotes coziness in the living room, bedroom, and beyond.","Area Rugs","SKU: ANDO7420","Showing 1-10 of 33147 reviews.","4.6","4.4","4.6","4.6","null"
"1571756999-1003","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=3","Opens in a new tabSaleQuickviewSaveMarysville White Area Rugby Rosdorf Park$95.99$120.0031Rated 5 out of 5 stars.31 total votes.FREE 2-Day ShippingGet it by Thu, Oct 24","https://www.wayfair.com/rugs/pdp/rosdorf-park-marysville-white-area-rug-rosp2281.html","Marysville White Area Rug","Rosdorf Park","$95.99","$120.00","20% Off","null","Area Rugs","SKU: ROSP2281","Showing 1-10 of 31 reviews.","4.9","null","null","null","null"
"1571757780-1066","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=2","Opens in a new tabSaleQuickviewSave+2 SizesAvailable in 2 SizesPembroke Muted Beige/Brown/Gray Area Rugby 17 Stories$143.99 - $318.99$353.4319Rated 5 out of 5 stars.19 total votes.FREE Shipping","https://www.wayfair.com/rugs/pdp/17-stories-pembroke-muted-beigebrowngray-area-rug-w000262452.html","Pembroke Muted Beige/Brown/Gray Area Rug","17 Stories","$143.99","$353.43","59% Off","Painterly inspired washes of neutral gray, taupe, and muted blue hues feature a modern cross-hatch distressed texture in the contemporary style of this Muted Beige/Brown/Gray Area Rug. Crafted in the U.S.A. of premium, stain resistant polyester, this luxuriously soft area rug features a plush pillow of sensuous shag underfoot for cozy comfort anywhere you desire.","Area Rugs","SKU: W000262452","Showing 1-10 of 19 reviews.","4.9","null","null","null","null"
"1571756055-937","https://www.wayfair.com/rugs/sb0/shag-flokati-rugs-c474120.html?curpage=5","Opens in a new tabSaleQuickviewSave+8 SizesAvailable in 8 SizesBaugh Shag Chenille Orange Area Rugby Ebern Designs$20.99 - $89.99$25.99144Rated 4.5 out of 5 stars.144 total votes.","https://www.wayfair.com/rugs/pdp/ebern-designs-baugh-shag-chenille-orange-area-rug-ebdg2194.html","Baugh Shag Chenille Orange Area Rug","Ebern Designs","$89.99","$183.04","51% Off","Beneath the dining table, or the perfect platform for your living ensemble – almost any room can benefit from a rug! Perfect for a pop of decor and while protecting your floors, area rugs like this can really do it all. Handwoven in India from chenille, this shag rug features a solid orange hue for a pop of bright color on any floor. And with a 1.25'' pile height, this piece is perfect for a cushioned touch underfoot worth running your toes through. To help keep this piece from slipping and sliding, we recommend adding a rug pad.","Area Rugs","SKU: EBDG2194","Showing 1-10 of 144 reviews.","4.5","5.0","2.0","4.8","null"
